candidate,family,deployable,split,slippage_bps,start,end,total_return_pct,cagr_pct,volatility_pct,sharpe,sortino,max_drawdown_pct,calmar,profit_factor,expectancy_trade_pct,win_rate_pct,avg_gain_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,entries,exits,entries_per_month,zero_entry_months,time_in_market_pct,average_gross_exposure_pct,annual_turnover_x,entry_signals,benchmark_return_pct,final_equity
pullback_below_ema20,pullback,True,test,5.0,2024-07-01,2026-07-31,5.018021155558139,2.380917991153053,8.64527095028567,0.3160612930566064,0.44254402479254523,-9.57461832087725,0.24866975490412113,1.304601679318001,0.42882615593685947,48.31460674157304,3.5589324137163554,-2.497142737204843,17.966821667037973,-8.467252733361285,93,89,3.72,4,90.63097514340345,51.310524099355206,13.155190360119708,317,40.15835193906074,105018.02115555815
pullback_below_ema20,pullback,True,full,5.0,2020-01-02,2026-07-31,46.452612263433934,5.973070221295296,8.609372715733397,0.7187320185942085,1.019019911083821,-15.298705708394667,0.3904297745931388,1.8129492898976283,1.1407248206809253,47.5206611570248,5.164404464644726,-2.5027646207036183,42.81046438735647,-11.418674899003696,246,242,3.1139240506329116,24,87.17483363581367,48.06797220346227,11.143856236532251,1059,153.31637843336728,146452.61226343393
pullback_below_ema20,pullback,True,full,10.0,2020-01-02,2026-07-31,41.166190884241956,5.382306404280857,8.608927809685369,0.6536492410417862,0.9233868213026147,-15.859777243459583,0.33936834809583893,1.7066293998947693,1.039634590430253,46.69421487603306,5.149666651330888,-2.5606260520641007,42.667725221182614,-11.507211999822824,246,242,3.1139240506329116,24,87.17483363581367,48.063904557929845,11.138549494640886,1059,153.31637843336728,141166.19088424195
pullback_below_ema20,pullback,True,full,20.0,2020-01-02,2026-07-31,30.721042534354083,4.157662504674708,8.61661797443052,0.5171150036229262,0.7250799705686674,-16.969984767140044,0.24500095679080566,1.5069638557001548,0.8249677372441404,43.62139917695473,5.271962800161681,-2.615772968370891,42.382674251607845,-11.684021120320942,247,243,3.1265822784810124,24,87.17483363581367,48.09305056064489,11.173600667155787,1055,153.31637843336728,130721.04253435408
pullback_reclaim_ema20,pullback,True,train,5.0,2020-01-02,2022-12-30,6.869515249580971,2.244968945589254,7.099963765665791,0.34743485025212334,0.47244764501063025,-8.159062656348103,0.27515035000283655,1.3976077538873062,0.7390193432046451,34.24657534246575,6.785895908416297,-2.410395534509757,39.678273174134745,-7.0892489478375715,77,73,2.138888888888889,12,71.03174603174604,33.36255072302983,7.517411088727279,245,23.99457443201087,106869.51524958096
pullback_reclaim_ema20,pullback,True,validation,5.0,2023-01-03,2024-06-28,8.89255195607963,5.908861466669002,6.636572330962795,0.8981248417538188,1.322930279128593,-6.807894324071162,0.867942595080628,1.5390785003905865,0.8520408583113233,30.23255813953488,7.564252063996207,-2.05658399748546,23.73272004626473,-4.815316393208902,47,43,2.611111111111111,5,81.55080213903744,42.40903517689196,9.028242935954664,140,44.651846208266456,108892.55195607964
pullback_reclaim_ema20,pullback,True,test,5.0,2024-07-01,2026-07-31,3.351407835434883,1.5968413772316614,6.656748824742518,0.2718332696072606,0.38009736469010963,-5.847714476616805,0.2730710234942103,1.1454717094118936,0.23216398779453395,34.92063492063492,4.438329860680597,-2.024803065949207,19.91067732333484,-6.3053914750618185,64,63,2.56,4,83.36520076481835,42.012241030811474,9.13750765754191,246,40.15835193906074,103351.40783543487
pullback_reclaim_ema20,pullback,True,full,5.0,2020-01-02,2026-07-31,17.306087476729147,2.456784208461804,6.911228571402026,0.38666433232682246,0.5360985938110423,-10.516773434499694,0.23360626942884016,1.3363060255241257,0.5876534728263522,34.23913043478261,6.112298276145222,-2.288814482620662,39.678273174134745,-7.4994053448477995,185,184,2.3417721518987342,21,77.43496672716273,38.51182617926478,8.423669993921864,629,153.31637843336728,117306.08747672914
pullback_reclaim_ema20,pullback,True,full,10.0,2020-01-02,2026-07-31,14.095883844904812,2.0254076496460716,6.910049485345001,0.325497243410652,0.4499542143332982,-10.99609841223197,0.18419329963371597,1.2609592321995697,0.4871160378023195,33.69565217391305,6.104079534919366,-2.367406395158802,39.53866463542571,-7.5918597585233325,185,184,2.3417721518987342,21,77.43496672716273,38.506429321998574,8.415921658110964,629,153.31637843336728,114095.8838449048
pullback_reclaim_ema20,pullback,True,full,20.0,2020-01-02,2026-07-31,7.650762860104665,1.1273081376094396,6.919421961206805,0.19703461240593773,0.2704511209863607,-11.946724173297218,0.09436127604997763,1.1214666846195598,0.2751354168106224,31.891891891891895,6.195449859298296,-2.4970753141955098,39.25986554764442,-7.776491776252582,186,185,2.3544303797468356,21,77.43496672716273,38.50575733762367,8.446845899694639,629,153.31637843336728,107650.76286010467
